id,ident,type,name,latitude_deg,longitude_deg,elevation_ft
36770,SJPE,heliport,Praia da Armação Heliport,-23.73500061035156,-45.343055725097656,10.0
36771,SJPF,heliport,Polícia Federal Heliport,-25.515832901000977,-54.5724983215332,709.0
36772,SJPG,small_airport,Pista Branca de Neve,-6.125325,-56.399391,545.0
36773,SJPH,small_airport,Fazenda Palma Airport,-16.189443588256836,-48.07805633544922,3297.0
36774,SJPI,small_airport,Fazenda Pirapitinga Airport,-15.417558,-48.634816,2323.0
36775,SJPJ,heliport,Prefeitura do Município de Jundiaí Heliport,-23.17138862609864,-46.90027618408203,2454.0
36776,SJPK,small_airport,Marcos da Cunha Airport,-12.36138916015625,-46.1341667175293,2815.0
36777,SJPL,small_airport,Fazenda Austrália Airport,-21.974166870117188,-54.14777755737305,1116.0
36778,SJPM,heliport,Capitão PM Cidimar Antunes de Almeida Heliport,-22.86666679382324,-43.12333297729492,13.0
36779,SJPN,heliport,Campan Heliport,-23.04194450378418,-50.05527877807617,1661.0
36780,SJPO,small_airport,Xingó Airport,-9.587778091430664,-37.7783317565918,791.0
36781,SJPP,small_airport,Aero Rural Airport,-9.85694408416748,-56.00444412231445,879.0
36782,SJPQ,small_airport,Fazenda Buriti Airport,-16.319721,-47.225277,3215.0
36783,SJPR,closed,Andrieli Base Operacional Airport,-15.5797224045,-54.4077796936,2188.0
36784,SJPS,small_airport,Fazenda Monte Belo Airport,-14.979999542236328,-57.99166870117188,636.0
36785,SJPT,closed,Petrobrás - Refinaria de Capuava Heliport,-23.6527786255,-46.4799995422,2480.0
36786,SJPU,small_airport,Pau D`Arco Airport,-7.119999885559082,-56.81444549560547,866.0
36787,SJPV,small_airport,Fazenda Cedro Airport,-12.967214,-56.185219,1378.0
36788,SJPW,small_airport,Fazenda Guimarães II Airport,-12.901944160461426,-56.37194442749024,1312.0
36789,SJPX,small_airport,Fazenda Cidade Verde Airport,-15.4152784348,-54.3722229004,2028.0
36790,SJPY,closed,Coqueiral Heliport,-16.485421,-39.068166,6.0
36791,SJPZ,heliport,Fazenda Santo Antônio Heliport,-3.1161110401153564,-45.01277923583984,59.0
36792,SJQA,closed,Fazenda Clarim Airport,-13.212222,-46.238888,3121.0
36793,SJQB,small_airport,Fazenda Symalu Airport,-8.327500343322754,-51.10499954223633,601.0
36794,SJQC,heliport,Jequitimar Heliport,-23.96833229064941,-46.18722152709961,36.0
36795,SJQD,small_airport,Fazenda São Roque do Vale do Rio Negro Airport,-19.36916732788086,-56.3488883972168,296.0
36796,SJQE,small_airport,Graciosa Airport,-25.407713,-49.050479,2999.0
